t,pressure_pa,altitude_m,filled
639.0,100693.5,52.708459,0
640.0,100689.25,53.064093,0
641.0,100679.75,53.859083,0
642.0,100669.75,54.695981,0
643.0,100658.5,55.637571,0
644.0,100649.25,56.411832,0
645.0,100642.25,56.997797,0
646.0,100637.5,57.395435,0
647.0,100633.25,57.751229,0
648.0,100629.75,58.044245,0
649.0,100627.75,58.211687,0
650.0,100627.0,58.274478,0
651.0,100624.75,58.462854,0
652.0,100624.0,58.525647,0
653.0,100622.5,58.651233,0
654.0,100622.75,58.630302,0
655.0,100623.0,58.609371,0
656.0,100622.5,58.651233,0
657.0,100622.75,58.630302,0
658.0,100619.75,58.881479,0
659.0,100614.75,59.300122,0
660.0,100608.75,59.802515,0
661.0,100603.5,60.242129,0
662.0,100600.0,60.535215,0
663.0,100597.5,60.744568,0
664.0,100596.0,60.870181,0
665.0,100594.75,60.97486,0
666.0,100593.5,61.07954,0
667.0,100592.5,61.163285,0
668.0,100591.75,61.226094,0
669.0,100591.75,61.226094,0
670.0,100590.5,61.330777,0
671.0,100588.75,61.477334,0
672.0,100589.0,61.456397,0
673.0,100588.25,61.519208,0
674.0,100587.75,61.561082,0
675.0,100588.25,61.519208,0
676.0,100589.0,61.456397,0
677.0,100595.0,60.953924,0
678.0,100603.5,60.242129,0
679.0,100615.75,59.216392,0
680.0,100631.25,57.918666,0
681.0,100645.5,56.725737,0
682.0,100658.0,55.679422,0
683.0,100667.75,54.863369,0
684.0,100675.0,54.256601,0
685.0,100680.25,53.81724,0
686.0,100684.0,53.503422,0
687.0,100686.5,53.294215,0
688.0,100689.5,53.043173,0
689.0,100690.75,52.938573,0
690.0,100691.5,52.875814,0
691.0,100692.75,52.771217,0
692.0,100693.5,52.708459,0
693.0,100694.75,52.603863,0
694.0,100695.5,52.541106,0
695.0,100696.5,52.45743,0
696.0,100699.5,52.206408,0
697.0,100706.5,51.620713,0
698.0,100718.75,50.595825,0
699.0,100732.25,49.466474,0
700.0,100746.25,48.295425,0
701.0,100763.25,46.873614,0
702.0,100780.5,45.431092,0
703.0,100798.75,43.905163,0
704.0,100817.25,42.35856,0
705.0,100834.75,40.895768,0
706.0,100852.0,39.454074,0
707.0,100865.25,38.346822,0
708.0,100875.5,37.490349,0
709.0,100883.25,36.842819,0
710.0,100889.25,36.341533,0
711.0,100893.25,36.007355,0
712.0,100896.5,35.735844,0
713.0,100898.0,35.610534,0
714.0,100899.75,35.46434,0
715.0,100901.0,35.359917,0
716.0,100902.0,35.27638,0
717.0,100903.5,35.151075,0
718.0,100903.0,35.192843,0
719.0,100903.5,35.151075,0
720.0,100905.0,35.025772,0
721.0,100905.5,34.984004,0
722.0,100905.5,34.984004,0
723.0,100905.0,35.025772,0
724.0,100899.5,35.485225,0
725.0,100890.5,36.237101,0
726.0,100879.0,37.197911,0
727.0,100865.75,38.305041,0
728.0,100851.25,39.516752,0
729.0,100835.75,40.812186,0
730.0,100820.5,42.086883,0
731.0,100808.5,43.090033,0
732.0,100798.75,43.905163,0
733.0,100790.5,44.594939,0
734.0,100785.25,45.033911,0
735.0,100781.5,45.347473,0
736.0,100779.25,45.535616,0
737.0,100776.5,45.765572,0
738.0,100775.0,45.891005,0
739.0,100773.5,46.016439,0
740.0,100771.25,46.204593,0
741.0,100770.75,46.246406,0
742.0,100770.25,46.288218,0
743.0,100770.5,46.267312,0
